,lon,lat,date,manner_of_death,age,gender,city,state,mental_illness,threat_level,Armed,Race,State
631,-75.9413327,39.6001132,8/21/2015,shot,30,M,North East,maryland,FALSE,attack,Armed/Undetermined,White,maryland
632,-78.5097228,35.9798734,8/21/2015,shot,38,M,Wake Forest,north carolina,FALSE,other,Armed/Undetermined,White,north carolina
633,-93.6221657,47.2640071,8/22/2015,shot,31,M,Cohasset,minnesota,FALSE,attack,Armed/Undetermined,White,minnesota
634,-73.6917851,42.7284117,8/22/2015,shot and Tasered,39,M,Troy,new york,FALSE,attack,Armed/Undetermined,Black,new york
635,-119.0187125,35.3732921,8/22/2015,shot,29,M,Bakersfield,california,FALSE,undetermined,Armed/Undetermined,White,california
636,-97.330053,37.6871761,8/22/2015,shot,26,M,Wichita,kansas,FALSE,attack,Armed/Undetermined,White,kansas
637,-77.1807842,38.2664512,8/22/2015,shot,64,M,King George,virginia,FALSE,other,Armed/Undetermined,White,virginia
638,-81.655651,30.3321838,8/23/2015,shot,36,M,Jacksonville,florida,TRUE,attack,Armed/Undetermined,White,florida
639,-86.4958219,34.3181497,8/23/2015,shot,36,M,Arab,alabama,FALSE,attack,Armed/Undetermined,White,alabama
640,-74.1371832,40.0578384,8/23/2015,shot,21,M,Brick Township,new jersey,FALSE,attack,Armed/Undetermined,White,new jersey
641,-79.9719831,35.914581,8/23/2015,shot,53,M,Archdale,north carolina,FALSE,attack,Armed/Undetermined,Black,north carolina
642,-115.1398296,36.1699412,8/23/2015,shot,57,M,Las Vegas,nevada,FALSE,attack,Armed/Undetermined,White,nevada
643,-105.937799,35.6869752,8/25/2015,shot,30,M,Santa Fe,new mexico,FALSE,attack,Armed/Undetermined,Hispanic,new mexico
644,-75.6054882,39.9606643,8/25/2015,shot,34,M,West Chester,pennsylvania,FALSE,attack,Armed/Undetermined,Black,pennsylvania
645,-82.3023128,28.0614065,8/25/2015,shot,53,M,Thonotosassa,florida,FALSE,attack,Armed/Undetermined,White,florida
646,-112.0740373,33.4483771,8/25/2015,shot,45,M,Phoenix,arizona,FALSE,attack,Armed/Undetermined,White,arizona
647,-80.1917902,25.7616798,8/25/2015,shot,22,M,Miami,florida,FALSE,attack,Armed/Undetermined,Hispanic,florida
648,-86.6199957,36.3047735,8/26/2015,shot,22,M,Hendersonville,tennessee,TRUE,attack,Armed/Undetermined,White,tennessee
649,-85.3096801,35.0456297,8/26/2015,shot,46,M,Chattanooga,tennessee,FALSE,attack,Armed/Undetermined,White,tennessee
650,-111.9391031,40.6096698,8/26/2015,shot,27,M,West Jordan,utah,TRUE,attack,Armed/Undetermined,White,utah
651,-96.7969879,32.7766642,8/27/2015,shot and Tasered,42,M,Dallas,texas,FALSE,attack,Armed/Undetermined,Black,texas
652,-122.2711137,37.8043637,8/27/2015,shot,30,M,Oakland,california,FALSE,attack,Armed/Undetermined,Black,california
653,-117.1610838,32.715738,8/27/2015,shot,54,M,San Diego,california,FALSE,other,Armed/Undetermined,White,california
654,-118.2436849,34.0522342,8/27/2015,shot,29,M,Los Angeles,california,FALSE,attack,Armed/Undetermined,Hispanic,california
655,-98.4936282,29.4241219,8/28/2015,shot,41,M,San Antonio,texas,TRUE,undetermined,Armed/Undetermined,Hispanic,texas
656,-111.654923,40.114955,8/28/2015,shot,28,M,Spanish Fork,utah,TRUE,attack,Armed/Undetermined,White,utah
657,-94.7404891,32.5007037,8/28/2015,shot,23,M,Longview,texas,FALSE,attack,Armed/Undetermined,White,texas
658,-115.1175013,36.1988592,8/29/2015,shot,25,M,North Las Vegas,nevada,FALSE,attack,Armed/Undetermined,Black,nevada
659,-98.4936282,29.4241219,8/29/2015,shot,NA,M,San Antonio,texas,FALSE,other,Armed/Undetermined,White,texas
660,-96.76697,35.9850639,8/30/2015,shot,20,M,Cushing,oklahoma,FALSE,attack,Armed/Undetermined,White,oklahoma
661,-110.926479,32.2217429,8/30/2015,shot,40,M,Tucson,arizona,FALSE,attack,Armed/Undetermined,Hispanic,arizona
662,-105.0749801,40.3977612,8/31/2015,shot,45,M,Loveland,colorado,FALSE,attack,Armed/Undetermined,White,colorado
663,-81.2223195,37.2698395,9/1/2015,shot,33,M,Bluefield,west virginia,FALSE,attack,Armed/Undetermined,Black,west virginia
664,-81.4401129,41.3125552,9/1/2015,shot,76,M,Twinsburg,ohio,FALSE,attack,Armed/Undetermined,White,ohio
665,-104.4032962,32.8423345,9/1/2015,shot,47,M,Artesia,new mexico,FALSE,attack,Armed/Undetermined,White,new mexico
666,-112.4685025,34.5400242,9/2/2015,shot,45,M,Prescott,arizona,TRUE,attack,Armed/Undetermined,White,arizona
667,-98.0297992,43.7094283,9/4/2015,shot,37,M,Mitchell,south dakota,TRUE,attack,Armed/Undetermined,White,south dakota
668,-86.6199914,38.5489431,9/4/2015,shot and Tasered,49,M,French Lick,indiana,FALSE,attack,Armed/Undetermined,Hispanic,indiana
669,-123.7039941,41.1877221,9/4/2015,shot,27,M,Weitchpec,california,FALSE,attack,Armed/Undetermined,White,california
670,-97.6836384,32.9659566,9/4/2015,shot,36,M,Springtown,texas,FALSE,attack,Armed/Undetermined,White,texas
671,-71.4948322,42.8678693,9/4/2015,shot,23,M,Merrimack,new hampshire,TRUE,other,Armed/Undetermined,White,new hampshire
672,-78.898619,35.9940329,9/5/2015,shot,21,M,Durham,north carolina,TRUE,attack,Armed/Undetermined,Black,north carolina
673,-117.6508876,34.0633443,9/5/2015,shot,32,M,Ontario,california,TRUE,other,Armed/Undetermined,Hispanic,california
674,-75.977985,36.8529263,9/5/2015,shot,35,M,Virginia Beach,virginia,FALSE,attack,Armed/Undetermined,Black,virginia
675,-80.2377078,25.7776438,9/6/2015,shot,59,M,Little Havana,florida,FALSE,attack,Armed/Undetermined,Hispanic,florida
676,-93.7501789,32.5251516,9/6/2015,shot,28,M,Shreveport,louisiana,TRUE,attack,Armed/Undetermined,Black,louisiana
677,-103.1360403,32.7026116,9/6/2015,shot,45,M,Hobbs,new mexico,FALSE,attack,Armed/Undetermined,White,new mexico
678,-119.7725868,36.7468422,9/7/2015,shot,45,M,Fresno,california,FALSE,other,Armed/Undetermined,Hispanic,california
679,-88.0701033,44.4822137,9/9/2015,shot,25,M,Ashwaubenon,wisconsin,FALSE,attack,Armed/Undetermined,White,wisconsin
680,-94.5785667,39.0997265,9/9/2015,shot,37,M,Kansas City,missouri,TRUE,other,Armed/Undetermined,Black,missouri
681,-86.158068,39.768403,9/10/2015,shot,29,M,Indianapolis,indiana,FALSE,attack,Armed/Undetermined,Black,indiana
682,-121.2722194,38.1341477,9/10/2015,shot,32,M,Lodi,california,FALSE,attack,Armed/Undetermined,White,california
683,-118.1331593,33.9401088,9/10/2015,shot,41,M,Downey,california,FALSE,attack,Armed/Undetermined,Hispanic,california
684,-75.3557457,39.849557,9/11/2015,shot,31,M,Chester,pennsylvania,FALSE,attack,Armed/Undetermined,White,pennsylvania
685,-105.0866504,39.9205411,9/11/2015,shot,44,M,Broomfield,colorado,FALSE,attack,Armed/Undetermined,White,colorado
686,-86.2516406,33.1731716,9/12/2015,shot,23,M,Sylacauga,alabama,FALSE,undetermined,Armed/Undetermined,White,alabama
687,-83.9419784,35.9874629,9/12/2015,shot,45,M,West Knox,tennessee,FALSE,attack,Armed/Undetermined,White,tennessee
688,-91.8382273,41.4641806,9/13/2015,shot,39,M,Wellman,iowa,TRUE,attack,Armed/Undetermined,White,iowa
689,-95.7697131,34.9334298,9/13/2015,shot,67,M,McAlester,oklahoma,TRUE,attack,Armed/Undetermined,Black,oklahoma
690,-95.3988291,29.0246906,9/13/2015,shot,29,M,Clute,texas,FALSE,attack,Armed/Undetermined,White,texas
691,-87.8819594,37.1092162,9/14/2015,shot,25,M,Princeton,kentucky,FALSE,attack,Armed/Undetermined,Black,kentucky
692,-89.9635162,29.942783,9/15/2015,shot,21,M,Chalmette,louisiana,FALSE,attack,Armed/Undetermined,Black,louisiana
693,-118.442425,34.227617,9/15/2015,shot,32,M,Panorama City,california,FALSE,attack,Armed/Undetermined,Hispanic,california
694,-80.1917902,25.7616798,9/15/2015,shot,51,M,Miami,florida,TRUE,undetermined,Armed/Undetermined,Hispanic,florida
695,-118.2436849,34.0522342,9/15/2015,shot,39,M,Los Angeles,california,FALSE,attack,Armed/Undetermined,Hispanic,california
696,-92.4451371,31.3112936,9/15/2015,shot,27,M,Alexandria,louisiana,FALSE,other,Armed/Undetermined,Black,louisiana
697,-103.7651984,44.3522065,9/16/2015,shot,31,M,Lead,south dakota,TRUE,attack,Armed/Undetermined,White,south dakota
698,-84.4847316,43.8822464,9/17/2015,shot,50,M,Beaverton,michigan,FALSE,attack,Armed/Undetermined,White,michigan
699,-84.4138259,37.4042496,9/17/2015,shot,NA,M,Brodhead,kentucky,FALSE,attack,Armed/Undetermined,White,kentucky
700,-87.3877899,36.0770048,9/18/2015,shot,47,M,Dickson,tennessee,FALSE,undetermined,Armed/Undetermined,White,tennessee
701,-89.7811745,30.2751945,9/19/2015,shot,46,M,Slidell,louisiana,FALSE,attack,Armed/Undetermined,White,louisiana
702,-88.2461183,31.3422346,9/19/2015,shot,57,M,Washington County,alabama,TRUE,attack,Armed/Undetermined,White,alabama
703,-78.8689155,38.4495688,9/20/2015,shot,23,M,Harrisonburg,virginia,FALSE,attack,Armed/Undetermined,White,virginia
704,-85.7769238,39.5214373,9/20/2015,shot,56,M,Shelbyville,indiana,FALSE,attack,Armed/Undetermined,White,indiana
705,-96.7969879,32.7766642,9/21/2015,shot,24,M,Dallas,texas,TRUE,attack,Armed/Undetermined,Hispanic,texas
706,-121.8482855,36.6171819,9/21/2015,shot,27,M,Sand City,california,FALSE,attack,Armed/Undetermined,White,california
707,-121.8482855,36.6171819,9/21/2015,shot,23,F,Sand City,california,FALSE,attack,Armed/Undetermined,White,california
708,-81.420901,29.1872023,9/21/2015,shot,26,M,Barberville,florida,FALSE,attack,Armed/Undetermined,White,florida
709,-81.7886906,28.0652975,9/21/2015,shot,34,M,Auburndale,florida,FALSE,other,Armed/Undetermined,Hispanic,florida
710,-122.2711137,37.8043637,9/22/2015,shot,32,M,Oakland,california,FALSE,attack,Armed/Undetermined,Black,california
711,-86.482172,30.5168639,9/22/2015,shot,33,M,Niceville,florida,TRUE,attack,Armed/Undetermined,White,florida
712,-122.4053018,40.4505502,9/22/2015,shot,55,M,Happy Valley,california,TRUE,attack,Armed/Undetermined,White,california
713,-96.6397822,33.1972465,9/23/2015,shot,35,M,McKinney,texas,FALSE,attack,Armed/Undetermined,White,texas
714,-81.2078164,36.6721195,9/23/2015,shot,45,M,Grayson County,virginia,FALSE,attack,Armed/Undetermined,White,virginia
715,-75.5397878,39.7390721,9/23/2015,shot,28,M,Wilmington,delaware,TRUE,undetermined,Armed/Undetermined,Black,delaware
716,-80.1917902,25.7616798,9/24/2015,shot,42,M,Miami,florida,FALSE,attack,Armed/Undetermined,Hispanic,florida
717,-104.7008056,38.682219,9/24/2015,shot,17,M,Fountain,colorado,FALSE,attack,Armed/Undetermined,White,colorado
718,-87.6297982,41.8781136,9/25/2015,shot and Tasered,33,M,Chicago,illinois,FALSE,other,Armed/Undetermined,Black,illinois
719,-112.5868398,34.4258586,9/25/2015,shot,45,M,Wilhoit,arizona,FALSE,attack,Armed/Undetermined,White,arizona
720,-91.1403196,30.4582829,9/26/2015,shot,46,M,Baton Rouge,louisiana,FALSE,attack,Armed/Undetermined,Black,louisiana
721,-103.3485543,32.9440077,9/26/2015,shot,23,M,Lovington,new mexico,FALSE,attack,Armed/Undetermined,Hispanic,new mexico
722,-118.2436849,34.0522342,9/27/2015,shot,37,F,Los Angeles,california,TRUE,other,Armed/Undetermined,Hispanic,california
723,-85.2860676,34.9831309,9/27/2015,shot,43,M,Rossville,georgia,FALSE,attack,Armed/Undetermined,White,georgia
724,-97.2872402,33.1828974,9/27/2015,shot,40,M,Ponder,texas,FALSE,attack,Armed/Undetermined,Hispanic,texas
